suburb,state,postcode,lat,lng,label
Paddys Flat,NSW,2469,-29.34,153.0,"Paddys Flat, NSW 2469"
Paddys Flat,NSW,2632,-36.82,149.28,"Paddys Flat, NSW 2632"
Paddys River,NSW,2577,-34.61,150.48,"Paddys River, NSW 2577"
Paddys River,NSW,2653,-35.83,148.07,"Paddys River, NSW 2653"
Padstow,NSW,2211,-33.95,151.04,"Padstow, NSW 2211"
Padstow Heights,NSW,2211,-33.95,151.04,"Padstow Heights, NSW 2211"
Pagans Flat,NSW,2469,-29.34,153.0,"Pagans Flat, NSW 2469"
Pages Creek,NSW,2337,-31.99,151.12,"Pages Creek, NSW 2337"
Pages River,NSW,2338,-31.73,150.79,"Pages River, NSW 2338"
Pagewood,NSW,2035,-33.95,151.24,"Pagewood, NSW 2035"
Palarang,NSW,2632,-36.82,149.28,"Palarang, NSW 2632"
Palerang,NSW,2622,-35.65,149.81,"Palerang, NSW 2622"
Paling Yards,NSW,2580,-34.44,149.96,"Paling Yards, NSW 2580"
Paling Yards,NSW,2795,-33.91,149.33,"Paling Yards, NSW 2795"
Pallal,NSW,2404,-29.8,150.48,"Pallal, NSW 2404"
Pallamallawa,NSW,2399,-29.58,150.14,"Pallamallawa, NSW 2399"
Palm Beach,NSW,2108,-33.6,151.3,"Palm Beach, NSW 2108"
Palm Grove,NSW,2258,-33.34,151.39,"Palm Grove, NSW 2258"
Palmdale,NSW,2258,-33.34,151.39,"Palmdale, NSW 2258"
Palmers Channel,NSW,2463,-29.42,153.19,"Palmers Channel, NSW 2463"
Palmers Island,NSW,2463,-29.42,153.19,"Palmers Island, NSW 2463"
Palmers Oaky,NSW,2795,-33.91,149.33,"Palmers Oaky, NSW 2795"
Palmvale,NSW,2484,-28.4,153.17,"Palmvale, NSW 2484"
Palmwoods,NSW,2482,-28.61,153.44,"Palmwoods, NSW 2482"
Pambula,NSW,2549,-36.91,149.85,"Pambula, NSW 2549"
Pambula Beach,NSW,2549,-36.91,149.85,"Pambula Beach, NSW 2549"
Pampoolah,NSW,2430,-32.07,152.54,"Pampoolah, NSW 2430"
Pan Ban,NSW,2648,-34.15,142.09,"Pan Ban, NSW 2648"
Panania,NSW,2213,-33.96,150.99,"Panania, NSW 2213"
Pangee,NSW,2825,-31.94,146.48,"Pangee, NSW 2825"
Panuara,NSW,2800,-33.12,149.03,"Panuara, NSW 2800"
Pappinbarra,NSW,2446,-31.46,152.53,"Pappinbarra, NSW 2446"
Paradise,NSW,2360,-29.84,151.04,"Paradise, NSW 2360"
Parkes,NSW,2870,-32.93,148.26,"Parkes, NSW 2870"
Parkesbourne,NSW,2580,-34.44,149.96,"Parkesbourne, NSW 2580"
Parklea,NSW,2768,-33.74,150.92,"Parklea, NSW 2768"
Parkville,NSW,2337,-31.99,151.12,"Parkville, NSW 2337"
Parliament House,NSW,2000,-33.86,151.21,"Parliament House, NSW 2000"
Parma,NSW,2540,-34.89,150.53,"Parma, NSW 2540"
Parramatta,NSW,2150,-33.82,151.01,"Parramatta, NSW 2150"
Parramatta Westfield,NSW,2150,-33.82,151.01,"Parramatta Westfield, NSW 2150"
Parraweena,NSW,2339,-31.77,150.62,"Parraweena, NSW 2339"
Patchs Beach,NSW,2478,-28.87,153.56,"Patchs Beach, NSW 2478"
Paterson,NSW,2421,-32.51,151.53,"Paterson, NSW 2421"
Patonga,NSW,2256,-33.5,151.33,"Patonga, NSW 2256"
Paupong,NSW,2628,-36.44,148.7,"Paupong, NSW 2628"
Paxton,NSW,2325,-32.84,151.38,"Paxton, NSW 2325"
Paynes Crossing,NSW,2325,-32.84,151.38,"Paynes Crossing, NSW 2325"
Peacock Creek,NSW,2469,-29.34,153.0,"Peacock Creek, NSW 2469"
Peak Hill,NSW,2869,-32.73,148.19,"Peak Hill, NSW 2869"
Peak View,NSW,2630,-36.37,148.95,"Peak View, NSW 2630"
Peakhurst,NSW,2210,-33.98,151.05,"Peakhurst, NSW 2210"
Peakhurst Heights,NSW,2210,-33.98,151.05,"Peakhurst Heights, NSW 2210"
Pearces Creek,NSW,2477,-28.81,153.45,"Pearces Creek, NSW 2477"
Pearl Beach,NSW,2256,-33.5,151.33,"Pearl Beach, NSW 2256"
Peats Ridge,NSW,2250,-33.11,151.14,"Peats Ridge, NSW 2250"
Pebbly Beach,NSW,2536,-35.73,150.2,"Pebbly Beach, NSW 2536"
Peel,NSW,2795,-33.91,149.33,"Peel, NSW 2795"
Peelwood,NSW,2583,-34.08,149.15,"Peelwood, NSW 2583"
Pejar,NSW,2583,-34.08,149.15,"Pejar, NSW 2583"
Pelaw Main,NSW,2327,-32.82,151.48,"Pelaw Main, NSW 2327"
Pelican,NSW,2281,-33.08,151.65,"Pelican, NSW 2281"
Pelton,NSW,2325,-32.84,151.38,"Pelton, NSW 2325"
Pembrooke,NSW,2446,-31.46,152.53,"Pembrooke, NSW 2446"
Pemulwuy,NSW,2145,-33.8,150.95,"Pemulwuy, NSW 2145"
Pendle Hill,NSW,2145,-33.8,150.95,"Pendle Hill, NSW 2145"
Pennant Hills,NSW,2120,-33.74,151.07,"Pennant Hills, NSW 2120"
Penrith,NSW,2750,-33.74,150.65,"Penrith, NSW 2750"
Penrith Plaza,NSW,2750,-33.74,150.65,"Penrith Plaza, NSW 2750"
Penrith South,NSW,2750,-33.74,150.65,"Penrith South, NSW 2750"
Penrose,NSW,2579,-34.56,149.99,"Penrose, NSW 2579"
Penshurst,NSW,2222,-33.96,151.09,"Penshurst, NSW 2222"
Pericoe,NSW,2550,-36.64,149.86,"Pericoe, NSW 2550"
Perisher Valley,NSW,2624,-36.18,148.44,"Perisher Valley, NSW 2624"
Perrys Crossing,NSW,2775,-33.33,150.98,"Perrys Crossing, NSW 2775"
Perthville,NSW,2795,-33.91,149.33,"Perthville, NSW 2795"
Petersham,NSW,2049,-33.89,151.14,"Petersham, NSW 2049"
Pheasants Nest,NSW,2574,-34.35,150.63,"Pheasants Nest, NSW 2574"
Phegans Bay,NSW,2256,-33.5,151.33,"Phegans Bay, NSW 2256"
Phillip Bay,NSW,2036,-33.98,151.24,"Phillip Bay, NSW 2036"
Phoenix Park,NSW,2321,-32.76,151.65,"Phoenix Park, NSW 2321"
Piallamore,NSW,2340,-30.96,150.83,"Piallamore, NSW 2340"
Piallaway,NSW,2342,-31.26,150.73,"Piallaway, NSW 2342"
Piambong,NSW,2850,-32.86,149.8,"Piambong, NSW 2850"
Picketts Valley,NSW,2251,-33.46,151.43,"Picketts Valley, NSW 2251"
Picnic Point,NSW,2213,-33.96,150.99,"Picnic Point, NSW 2213"
Picton,NSW,2571,-34.29,150.53,"Picton, NSW 2571"
Pigeonbah,NSW,2824,-31.67,147.86,"Pigeonbah, NSW 2824"
Piggabeen,NSW,2486,-28.21,153.54,"Piggabeen, NSW 2486"
Pikapene,NSW,2469,-29.34,153.0,"Pikapene, NSW 2469"
Pillar Valley,NSW,2462,-29.62,153.07,"Pillar Valley, NSW 2462"
Pilliga,NSW,2388,-30.09,149.44,"Pilliga, NSW 2388"
Pilot Wilderness,NSW,2627,-36.44,148.51,"Pilot Wilderness, NSW 2627"
Pimlico,NSW,2478,-28.87,153.56,"Pimlico, NSW 2478"
Pimlico Island,NSW,2478,-28.87,153.56,"Pimlico Island, NSW 2478"
Pinbeyan,NSW,2720,-35.32,148.45,"Pinbeyan, NSW 2720"
Pindaroi,NSW,2361,-29.32,151.1,"Pindaroi, NSW 2361"
Pindimar,NSW,2324,-32.67,151.81,"Pindimar, NSW 2324"
Pine Grove,NSW,2829,-31.12,148.37,"Pine Grove, NSW 2829"
Pine Lodge,NSW,2714,-35.51,145.05,"Pine Lodge, NSW 2714"
Pine Ridge,NSW,2343,-31.66,150.3,"Pine Ridge, NSW 2343"
Pine Valley,NSW,2630,-36.37,148.95,"Pine Valley, NSW 2630"
Piney Range,NSW,2810,-33.99,147.93,"Piney Range, NSW 2810"
Pinkett,NSW,2370,-29.64,151.96,"Pinkett, NSW 2370"
Pinnacle,NSW,2810,-33.99,147.93,"Pinnacle, NSW 2810"
Pinnacle Swamp,NSW,2849,-32.98,150.1,"Pinnacle Swamp, NSW 2849"
Pinny Beach,NSW,2281,-33.08,151.65,"Pinny Beach, NSW 2281"
Piora,NSW,2470,-28.73,152.8,"Piora, NSW 2470"
Pipeclay,NSW,2446,-31.46,152.53,"Pipeclay, NSW 2446"
Pitnacree,NSW,2323,-32.77,151.6,"Pitnacree, NSW 2323"
Pitt Town,NSW,2756,-33.64,150.79,"Pitt Town, NSW 2756"
Pitt Town Bottoms,NSW,2756,-33.64,150.79,"Pitt Town Bottoms, NSW 2756"
Pleasant Hills,NSW,2658,-35.44,146.99,"Pleasant Hills, NSW 2658"
Pleasure Point,NSW,2172,-33.97,150.99,"Pleasure Point, NSW 2172"
Plumpton,NSW,2761,-33.73,150.87,"Plumpton, NSW 2761"
Point Clare,NSW,2250,-33.11,151.14,"Point Clare, NSW 2250"
Point Frederick,NSW,2250,-33.11,151.14,"Point Frederick, NSW 2250"
Point Piper,NSW,2027,-33.87,151.24,"Point Piper, NSW 2027"
Point Wolstoncroft,NSW,2259,-33.27,151.4,"Point Wolstoncroft, NSW 2259"
Pointer Mountain,NSW,2539,-35.52,150.39,"Pointer Mountain, NSW 2539"
Pokolbin,NSW,2320,-32.69,151.53,"Pokolbin, NSW 2320"
Pola Creek,NSW,2440,-31.06,152.77,"Pola Creek, NSW 2440"
Polo Flat,NSW,2630,-36.37,148.95,"Polo Flat, NSW 2630"
Pomeroy,NSW,2580,-34.44,149.96,"Pomeroy, NSW 2580"
Pooncarie,NSW,2648,-34.15,142.09,"Pooncarie, NSW 2648"
Port Botany,NSW,2036,-33.98,151.24,"Port Botany, NSW 2036"
Port Hacking,NSW,2229,-34.04,151.12,"Port Hacking, NSW 2229"
Port Kembla,NSW,2505,-34.49,150.89,"Port Kembla, NSW 2505"
Port Macquarie,NSW,2444,-31.4,152.85,"Port Macquarie, NSW 2444"
Port Macquarie Bc,NSW,2444,-31.4,152.85,"Port Macquarie Bc, NSW 2444"
Porters Creek,NSW,2538,-35.49,150.23,"Porters Creek, NSW 2538"
Porters Retreat,NSW,2787,-33.84,149.71,"Porters Retreat, NSW 2787"
Portland,NSW,2847,-33.35,149.98,"Portland, NSW 2847"
Possum Brush,NSW,2430,-32.07,152.54,"Possum Brush, NSW 2430"
Possum Creek,NSW,2479,-28.69,153.52,"Possum Creek, NSW 2479"
Potato Point,NSW,2545,-36.15,149.71,"Potato Point, NSW 2545"
Pottery Estate,NSW,2790,-33.22,150.02,"Pottery Estate, NSW 2790"
Potts Hill,NSW,2143,-33.89,151.02,"Potts Hill, NSW 2143"
Potts Point,NSW,2011,-33.87,151.23,"Potts Point, NSW 2011"
Pottsville,NSW,2489,-28.36,153.58,"Pottsville, NSW 2489"
Pottsville Beach,NSW,2489,-28.36,153.58,"Pottsville Beach, NSW 2489"
Prairiewood,NSW,2176,-33.88,150.87,"Prairiewood, NSW 2176"
Premer,NSW,2381,-31.24,150.46,"Premer, NSW 2381"
Prestons,NSW,2170,-33.95,150.91,"Prestons, NSW 2170"
Pretty Beach,NSW,2257,-33.51,151.34,"Pretty Beach, NSW 2257"
Pretty Beach,NSW,2539,-35.52,150.39,"Pretty Beach, NSW 2539"
Pretty Pine,NSW,2710,-35.23,144.49,"Pretty Pine, NSW 2710"
Primbee,NSW,2502,-34.47,150.87,"Primbee, NSW 2502"
Primrose Valley,NSW,2621,-35.81,149.43,"Primrose Valley, NSW 2621"
Prospect,NSW,2148,-33.79,150.87,"Prospect, NSW 2148"
Providence Portal,NSW,2629,-36.0,148.77,"Providence Portal, NSW 2629"
Pucawan,NSW,2666,-34.46,147.68,"Pucawan, NSW 2666"
Puddledock,NSW,2350,-30.24,152.01,"Puddledock, NSW 2350"
Pulganbar,NSW,2460,-29.05,152.59,"Pulganbar, NSW 2460"
Pullabooka,NSW,2810,-33.99,147.93,"Pullabooka, NSW 2810"
Pulletop,NSW,2650,-35.16,147.51,"Pulletop, NSW 2650"
Pumpenbil,NSW,2484,-28.4,153.17,"Pumpenbil, NSW 2484"
Punchbowl,NSW,2196,-33.93,151.05,"Punchbowl, NSW 2196"
Punchbowl,NSW,2460,-29.05,152.59,"Punchbowl, NSW 2460"
Purfleet,NSW,2430,-32.07,152.54,"Purfleet, NSW 2430"
Purlewaugh,NSW,2357,-31.51,149.79,"Purlewaugh, NSW 2357"
Putney,NSW,2112,-33.8,151.1,"Putney, NSW 2112"
Putta Bucca,NSW,2850,-32.86,149.8,"Putta Bucca, NSW 2850"
Putty,NSW,2330,-32.51,150.86,"Putty, NSW 2330"
Pyangle,NSW,2849,-32.98,150.1,"Pyangle, NSW 2849"
Pymble,NSW,2073,-33.74,151.14,"Pymble, NSW 2073"
Pyramul,NSW,2850,-32.86,149.8,"Pyramul, NSW 2850"
Pyree,NSW,2540,-34.89,150.53,"Pyree, NSW 2540"
Pyrmont,NSW,2009,-33.87,151.19,"Pyrmont, NSW 2009"
Quaama,NSW,2550,-36.64,149.86,"Quaama, NSW 2550"
Quakers Hill,NSW,2763,-33.73,150.91,"Quakers Hill, NSW 2763"
Quambone,NSW,2831,-31.45,148.41,"Quambone, NSW 2831"
Quanda,NSW,2828,-31.11,148.86,"Quanda, NSW 2828"
Quandary,NSW,2665,-34.36,146.9,"Quandary, NSW 2665"
Quandialla,NSW,2721,-33.99,147.68,"Quandialla, NSW 2721"
Queanbeyan,NSW,2620,-35.58,149.23,"Queanbeyan, NSW 2620"
Queanbeyan Dc,NSW,2620,-35.58,149.23,"Queanbeyan Dc, NSW 2620"
Queanbeyan East,NSW,2620,-35.58,149.23,"Queanbeyan East, NSW 2620"
Queanbeyan West,NSW,2620,-35.58,149.23,"Queanbeyan West, NSW 2620"
Queens Park,NSW,2022,-33.89,151.25,"Queens Park, NSW 2022"
Queens Pinch,NSW,2850,-32.86,149.8,"Queens Pinch, NSW 2850"
Queenscliff,NSW,2096,-33.77,151.29,"Queenscliff, NSW 2096"
Quialigo,NSW,2580,-34.44,149.96,"Quialigo, NSW 2580"
Quidong,NSW,2632,-36.82,149.28,"Quidong, NSW 2632"
Quiera,NSW,2622,-35.65,149.81,"Quiera, NSW 2622"
Quipolly,NSW,2343,-31.66,150.3,"Quipolly, NSW 2343"
Quirindi,NSW,2343,-31.66,150.3,"Quirindi, NSW 2343"
Quorrobolong,NSW,2325,-32.84,151.38,"Quorrobolong, NSW 2325"
Raby,NSW,2566,-34.02,150.84,"Raby, NSW 2566"
Raglan,NSW,2795,-33.91,149.33,"Raglan, NSW 2795"
Rainbow Flat,NSW,2430,-32.07,152.54,"Rainbow Flat, NSW 2430"
Rainbow Reach,NSW,2440,-31.06,152.77,"Rainbow Reach, NSW 2440"
Raleigh,NSW,2454,-30.45,152.9,"Raleigh, NSW 2454"
Ramornie,NSW,2460,-29.05,152.59,"Ramornie, NSW 2460"
Ramsgate,NSW,2217,-33.98,151.13,"Ramsgate, NSW 2217"
Ramsgate Beach,NSW,2217,-33.98,151.13,"Ramsgate Beach, NSW 2217"
Rand,NSW,2642,-35.44,146.44,"Rand, NSW 2642"
Randwick,NSW,2031,-33.91,151.26,"Randwick, NSW 2031"
Rangari,NSW,2380,-30.8,150.2,"Rangari, NSW 2380"
Rangers Valley,NSW,2370,-29.64,151.96,"Rangers Valley, NSW 2370"
Rankin Park,NSW,2287,-32.89,151.69,"Rankin Park, NSW 2287"
Rankins Springs,NSW,2669,-33.5,146.8,"Rankins Springs, NSW 2669"
Rannock,NSW,2701,-34.82,147.2,"Rannock, NSW 2701"
Rappville,NSW,2469,-29.34,153.0,"Rappville, NSW 2469"
Rathmines,NSW,2283,-33.06,151.58,"Rathmines, NSW 2283"
Ravensdale,NSW,2259,-33.27,151.4,"Ravensdale, NSW 2259"
Ravenswood,NSW,2824,-31.67,147.86,"Ravenswood, NSW 2824"
Ravensworth,NSW,2330,-32.51,150.86,"Ravensworth, NSW 2330"
Rawdon Island,NSW,2446,-31.46,152.53,"Rawdon Island, NSW 2446"
Rawdon Vale,NSW,2422,-31.97,152.07,"Rawdon Vale, NSW 2422"
Raworth,NSW,2321,-32.76,151.65,"Raworth, NSW 2321"
Rawsonville,NSW,2830,-32.2,148.9,"Rawsonville, NSW 2830"
Raymond Terrace,NSW,2324,-32.67,151.81,"Raymond Terrace, NSW 2324"
Raymond Terrace East,NSW,2324,-32.67,151.81,"Raymond Terrace East, NSW 2324"
Razorback,NSW,2571,-34.29,150.53,"Razorback, NSW 2571"
Red Head,NSW,2430,-32.07,152.54,"Red Head, NSW 2430"
Red Hill,NSW,2347,-30.53,150.44,"Red Hill, NSW 2347"
Red Hill,NSW,2720,-35.32,148.45,"Red Hill, NSW 2720"
Red Hill,NSW,2824,-31.67,147.86,"Red Hill, NSW 2824"
Red Range,NSW,2370,-29.64,151.96,"Red Range, NSW 2370"
Red Rock,NSW,2456,-30.06,153.19,"Red Rock, NSW 2456"
Red Rocks,NSW,2577,-34.61,150.48,"Red Rocks, NSW 2577"
Redbank,NSW,2446,-31.46,152.53,"Redbank, NSW 2446"
Redbournberry,NSW,2330,-32.51,150.86,"Redbournberry, NSW 2330"
Reddestone,NSW,2370,-29.64,151.96,"Reddestone, NSW 2370"
Redfern,NSW,2016,-33.89,151.2,"Redfern, NSW 2016"
Redhead,NSW,2290,-33.0,151.69,"Redhead, NSW 2290"
Redlands,NSW,2646,-35.85,146.52,"Redlands, NSW 2646"
Reedy Creek,NSW,2330,-32.51,150.86,"Reedy Creek, NSW 2330"
Reedy Swamp,NSW,2550,-36.64,149.86,"Reedy Swamp, NSW 2550"
Reefton,NSW,2666,-34.46,147.68,"Reefton, NSW 2666"
Regents Park,NSW,2143,-33.89,151.02,"Regents Park, NSW 2143"
Regentville,NSW,2745,-33.79,150.67,"Regentville, NSW 2745"
Reids Flat,NSW,2586,-34.44,148.72,"Reids Flat, NSW 2586"
Reidsdale,NSW,2622,-35.65,149.81,"Reidsdale, NSW 2622"
Rennie,NSW,2646,-35.85,146.52,"Rennie, NSW 2646"
Repentance Creek,NSW,2480,-28.61,153.04,"Repentance Creek, NSW 2480"
Repton,NSW,2454,-30.45,152.9,"Repton, NSW 2454"
Reserve Creek,NSW,2484,-28.4,153.17,"Reserve Creek, NSW 2484"
Retreat,NSW,2355,-30.88,151.16,"Retreat, NSW 2355"
Revesby,NSW,2212,-33.95,151.02,"Revesby, NSW 2212"
Revesby Heights,NSW,2212,-33.95,151.02,"Revesby Heights, NSW 2212"
Revesby North,NSW,2212,-33.95,151.02,"Revesby North, NSW 2212"
Rhine Falls,NSW,2630,-36.37,148.95,"Rhine Falls, NSW 2630"
Rhodes,NSW,2138,-33.85,151.09,"Rhodes, NSW 2138"
Richlands,NSW,2580,-34.44,149.96,"Richlands, NSW 2580"
Richmond,NSW,2753,-33.62,150.71,"Richmond, NSW 2753"
Richmond Hill,NSW,2480,-28.61,153.04,"Richmond Hill, NSW 2480"
Richmond Lowlands,NSW,2753,-33.62,150.71,"Richmond Lowlands, NSW 2753"
Richmond Vale,NSW,2323,-32.77,151.6,"Richmond Vale, NSW 2323"
Rileys Hill,NSW,2472,-29.01,153.44,"Rileys Hill, NSW 2472"
Ringwood,NSW,2646,-35.85,146.52,"Ringwood, NSW 2646"
Riverlea,NSW,2850,-32.86,149.8,"Riverlea, NSW 2850"
Riverside,NSW,2444,-31.4,152.85,"Riverside, NSW 2444"
Riverstone,NSW,2765,-33.67,150.8,"Riverstone, NSW 2765"
Rivertree,NSW,2372,-28.93,151.7,"Rivertree, NSW 2372"
Riverview,NSW,2066,-33.81,151.17,"Riverview, NSW 2066"
Riverwood,NSW,2210,-33.98,151.05,"Riverwood, NSW 2210"
Rixs Creek,NSW,2330,-32.51,150.86,"Rixs Creek, NSW 2330"
Rob Roy,NSW,2360,-29.84,151.04,"Rob Roy, NSW 2360"
Robertson,NSW,2577,-34.61,150.48,"Robertson, NSW 2577"
Robin Hill,NSW,2795,-33.91,149.33,"Robin Hill, NSW 2795"
Rock Flat,NSW,2630,-36.37,148.95,"Rock Flat, NSW 2630"
Rock Forest,NSW,2795,-33.91,149.33,"Rock Forest, NSW 2795"
Rock Valley,NSW,2480,-28.61,153.04,"Rock Valley, NSW 2480"
Rockdale,NSW,2216,-33.95,151.14,"Rockdale, NSW 2216"
Rockley,NSW,2795,-33.91,149.33,"Rockley, NSW 2795"
Rockley Mount,NSW,2795,-33.91,149.33,"Rockley Mount, NSW 2795"
Rockton,NSW,2632,-36.82,149.28,"Rockton, NSW 2632"
Rocky Creek,NSW,2371,-29.39,152.04,"Rocky Creek, NSW 2371"
Rocky Creek,NSW,2390,-30.6,149.97,"Rocky Creek, NSW 2390"
Rocky Glen,NSW,2357,-31.51,149.79,"Rocky Glen, NSW 2357"
Rocky Hall,NSW,2550,-36.64,149.86,"Rocky Hall, NSW 2550"
Rocky Plain,NSW,2628,-36.44,148.7,"Rocky Plain, NSW 2628"
Rocky Point,NSW,2259,-33.27,151.4,"Rocky Point, NSW 2259"
Rocky River,NSW,2358,-30.59,151.56,"Rocky River, NSW 2358"
Rocky River,NSW,2372,-28.93,151.7,"Rocky River, NSW 2372"
Rodd Point,NSW,2046,-33.85,151.13,"Rodd Point, NSW 2046"
Rollands Plains,NSW,2441,-30.82,152.83,"Rollands Plains, NSW 2441"
Rookhurst,NSW,2422,-31.97,152.07,"Rookhurst, NSW 2422"
Rookwood,NSW,2141,-33.87,151.03,"Rookwood, NSW 2141"
Rooty Hill,NSW,2766,-33.8,150.85,"Rooty Hill, NSW 2766"
Ropers Road,NSW,2395,-31.55,149.38,"Ropers Road, NSW 2395"
Ropes Crossing,NSW,2760,-33.78,150.79,"Ropes Crossing, NSW 2760"
Rose Bay,NSW,2029,-33.87,151.28,"Rose Bay, NSW 2029"
Rose Bay North,NSW,2030,-33.87,151.28,"Rose Bay North, NSW 2030"
Rose Valley,NSW,2534,-34.73,150.77,"Rose Valley, NSW 2534"
Rose Valley,NSW,2630,-36.37,148.95,"Rose Valley, NSW 2630"
Rosebank,NSW,2480,-28.61,153.04,"Rosebank, NSW 2480"
Roseberg,NSW,2793,-33.93,148.86,"Roseberg, NSW 2793"
Roseberry,NSW,2474,-28.59,152.83,"Roseberry, NSW 2474"
Roseberry Creek,NSW,2474,-28.59,152.83,"Roseberry Creek, NSW 2474"
Rosebery,NSW,2018,-33.93,151.21,"Rosebery, NSW 2018"
Rosebrook,NSW,2320,-32.69,151.53,"Rosebrook, NSW 2320"
Rosedale,NSW,2536,-35.73,150.2,"Rosedale, NSW 2536"
Rosehill,NSW,2142,-33.85,151.01,"Rosehill, NSW 2142"
Roselands,NSW,2196,-33.93,151.05,"Roselands, NSW 2196"
Rosemeadow,NSW,2560,-34.08,150.83,"Rosemeadow, NSW 2560"
Rosemeath,NSW,2632,-36.82,149.28,"Rosemeath, NSW 2632"
Roseville,NSW,2069,-33.78,151.2,"Roseville, NSW 2069"
Roseville Chase,NSW,2069,-33.78,151.2,"Roseville Chase, NSW 2069"
Rosewood,NSW,2446,-31.46,152.53,"Rosewood, NSW 2446"
Rosewood,NSW,2652,-34.04,146.03,"Rosewood, NSW 2652"
Roslyn,NSW,2580,-34.44,149.96,"Roslyn, NSW 2580"
Rossglen,NSW,2439,-31.66,152.68,"Rossglen, NSW 2439"
Rossgole,NSW,2336,-32.16,150.89,"Rossgole, NSW 2336"
Rossi,NSW,2621,-35.81,149.43,"Rossi, NSW 2621"
Rossmore,NSW,2557,-33.99,150.77,"Rossmore, NSW 2557"
Rothbury,NSW,2320,-32.69,151.53,"Rothbury, NSW 2320"
Roto,NSW,2675,-33.48,145.53,"Roto, NSW 2675"
Rouchel,NSW,2336,-32.16,150.89,"Rouchel, NSW 2336"
Rouchel Brook,NSW,2336,-32.16,150.89,"Rouchel Brook, NSW 2336"
Roughit,NSW,2330,-32.51,150.86,"Roughit, NSW 2330"
Round Corner,NSW,2158,-33.68,151.03,"Round Corner, NSW 2158"
Round Mountain,NSW,2484,-28.4,153.17,"Round Mountain, NSW 2484"
Round Swamp,NSW,2846,-33.15,149.99,"Round Swamp, NSW 2846"
Rous,NSW,2477,-28.81,153.45,"Rous, NSW 2477"
Rous Mill,NSW,2477,-28.81,153.45,"Rous Mill, NSW 2477"
Rouse Hill,NSW,2155,-33.7,150.95,"Rouse Hill, NSW 2155"
Rowan,NSW,2650,-35.16,147.51,"Rowan, NSW 2650"
Rowena,NSW,2387,-29.78,149.09,"Rowena, NSW 2387"
Rowlands Creek,NSW,2484,-28.4,153.17,"Rowlands Creek, NSW 2484"
Royal North Shore Hospital,NSW,2065,-33.83,151.2,"Royal North Shore Hospital, NSW 2065"
Royalla,NSW,2620,-35.58,149.23,"Royalla, NSW 2620"
Rozelle,NSW,2039,-33.86,151.17,"Rozelle, NSW 2039"
Rugby,NSW,2583,-34.08,149.15,"Rugby, NSW 2583"
Rukenvale,NSW,2474,-28.59,152.83,"Rukenvale, NSW 2474"
Run-O-Waters,NSW,2580,-34.44,149.96,"Run-O-Waters, NSW 2580"
Running Stream,NSW,2850,-32.86,149.8,"Running Stream, NSW 2850"
Runnyford,NSW,2536,-35.73,150.2,"Runnyford, NSW 2536"
Ruse,NSW,2560,-34.08,150.83,"Ruse, NSW 2560"
Rushcutters Bay,NSW,2011,-33.87,151.23,"Rushcutters Bay, NSW 2011"
Rushes Creek,NSW,2346,-30.61,150.51,"Rushes Creek, NSW 2346"
Rushforth,NSW,2460,-29.05,152.59,"Rushforth, NSW 2460"
Russell Lea,NSW,2046,-33.85,151.13,"Russell Lea, NSW 2046"
Russell Vale,NSW,2517,-34.36,150.9,"Russell Vale, NSW 2517"
Rutherford,NSW,2320,-32.69,151.53,"Rutherford, NSW 2320"
Ruthven,NSW,2480,-28.61,153.04,"Ruthven, NSW 2480"
Ryan,NSW,2658,-35.44,146.99,"Ryan, NSW 2658"
Rydal,NSW,2790,-33.22,150.02,"Rydal, NSW 2790"
Rydalmere,NSW,2116,-33.81,151.03,"Rydalmere, NSW 2116"
Ryde,NSW,2112,-33.8,151.1,"Ryde, NSW 2112"
Rye Park,NSW,2586,-34.44,148.72,"Rye Park, NSW 2586"
Ryhope,NSW,2283,-33.06,151.58,"Ryhope, NSW 2283"
Rylstone,NSW,2849,-32.98,150.1,"Rylstone, NSW 2849"
Sackville,NSW,2756,-33.64,150.79,"Sackville, NSW 2756"
Sackville North,NSW,2756,-33.64,150.79,"Sackville North, NSW 2756"
Saddleback Mountain,NSW,2533,-34.66,150.85,"Saddleback Mountain, NSW 2533"
Sadleir,NSW,2168,-33.92,150.9,"Sadleir, NSW 2168"
Safety Beach,NSW,2456,-30.06,153.19,"Safety Beach, NSW 2456"
Salamander Bay,NSW,2317,-32.72,152.08,"Salamander Bay, NSW 2317"
Salisbury,NSW,2420,-32.43,151.77,"Salisbury, NSW 2420"
Salisbury Plains,NSW,2358,-30.59,151.56,"Salisbury Plains, NSW 2358"
Sallys Flat,NSW,2850,-32.86,149.8,"Sallys Flat, NSW 2850"
Salt Ash,NSW,2318,-32.77,151.85,"Salt Ash, NSW 2318"
Saltwater,NSW,2430,-32.07,152.54,"Saltwater, NSW 2430"
San Isidore,NSW,2650,-35.16,147.51,"San Isidore, NSW 2650"
San Remo,NSW,2262,-33.21,151.49,"San Remo, NSW 2262"
Sancrox,NSW,2446,-31.46,152.53,"Sancrox, NSW 2446"
Sanctuary Point,NSW,2540,-34.89,150.53,"Sanctuary Point, NSW 2540"
Sandbar,NSW,2428,-32.35,152.54,"Sandbar, NSW 2428"
Sandgate,NSW,2304,-32.88,151.75,"Sandgate, NSW 2304"
Sandigo,NSW,2700,-35.03,146.61,"Sandigo, NSW 2700"
Sandilands,NSW,2469,-29.34,153.0,"Sandilands, NSW 2469"
